GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Tabula Backend,br.com.tabula.repository,SessionRepository,45,327,5,17,2,71,5,17,0,11
Tabula Backend,br.com.tabula.repository,AuditLogRepository.FilterSql,0,9,0,0,0,1,0,1,0,1
Tabula Backend,br.com.tabula.repository,EventRepository.EventData,0,42,0,0,0,1,0,1,0,1
Tabula Backend,br.com.tabula.repository,EventRepository.Membership,0,9,0,0,0,1,0,1,0,1
Tabula Backend,br.com.tabula.repository,AuditLogRepository,12,346,4,14,2,81,4,15,0,10
Tabula Backend,br.com.tabula.repository,UserRepository,0,283,4,10,0,71,4,18,0,15
Tabula Backend,br.com.tabula.repository,VerificationTokenRepository.TokenInfo,0,15,0,0,0,6,0,3,0,3
Tabula Backend,br.com.tabula.repository,EventRepository,21,685,10,30,0,162,10,31,0,21
Tabula Backend,br.com.tabula.repository,VerificationTokenRepository,0,193,5,9,0,53,5,11,0,9
Tabula Backend,br.com.tabula.repository,SessionRepository.CommentData,18,0,0,0,1,0,1,0,1,0
Tabula Backend,br.com.tabula.repository,SessionRepository.SessionData,0,42,0,0,0,1,0,1,0,1
Tabula Backend,br.com.tabula.service,AiEventDraftService.GenerationResult,0,18,0,0,0,3,0,2,0,2
Tabula Backend,br.com.tabula.service,EventService.EventException,0,40,0,0,0,10,0,7,0,7
Tabula Backend,br.com.tabula.service,AiDraftValidationException,5,4,0,0,1,1,1,1,1,1
Tabula Backend,br.com.tabula.service,SessionService.SessionInput,0,24,0,0,0,1,0,1,0,1
Tabula Backend,br.com.tabula.service,SessionService.SessionException,6,33,0,0,1,6,1,6,1,6
Tabula Backend,br.com.tabula.service,StateAuthorizationService.AuthorizationDecision,0,36,0,0,0,3,0,3,0,3
Tabula Backend,br.com.tabula.service,EventService.EventException.Kind,0,27,0,0,0,1,0,1,0,1
Tabula Backend,br.com.tabula.service,SessionService.RequestMetadata,0,9,0,0,0,1,0,1,0,1
Tabula Backend,br.com.tabula.service,StateAuthorizationService,154,1398,79,209,21,220,71,97,1,23
Tabula Backend,br.com.tabula.service,AiEventDraftService,220,830,45,99,24,147,45,52,5,20
Tabula Backend,br.com.tabula.service,EmailService,155,175,6,12,38,48,5,13,0,9
Tabula Backend,br.com.tabula.service,AiEventDraftService.Game,0,24,0,0,0,1,0,1,0,1
Tabula Backend,br.com.tabula.service,AuditLogService,25,381,11,31,2,91,10,23,0,12
Tabula Backend,br.com.tabula.service,EventService.LeaveResult,0,9,0,0,0,1,0,1,0,1
Tabula Backend,br.com.tabula.service,EmailService.new Authenticator() {...},0,18,0,0,0,2,0,2,0,2
Tabula Backend,br.com.tabula.service,AiUsageLimiter,9,93,1,5,3,20,1,5,0,3
Tabula Backend,br.com.tabula.service,RelationalStateSyncService,68,1546,38,128,12,380,36,54,0,7
Tabula Backend,br.com.tabula.service,EventService.JoinResult,0,9,0,0,0,1,0,1,0,1
Tabula Backend,br.com.tabula.service,SessionService.SessionException.Kind,0,27,0,0,0,1,0,1,0,1
Tabula Backend,br.com.tabula.service,EventService.RequestMetadata,0,9,0,0,0,1,0,1,0,1
Tabula Backend,br.com.tabula.service,RelationalStateReadService,13,1089,14,110,1,226,14,59,0,11
